epoch,collective_reward_mean,collective_reward_std,td_error_mean,individual_reward_agent0_mean,individual_reward_agent1_mean
0,0.39999999999999974,0.0,5.767680299547214,1.9,-1.4999999999999998
1,1.5299999999999998,0.0,9.545675977506534,1.8800000000000003,-0.3500000000000001
2,3.8,0.0,8.882128532920742,3.0400000000000005,0.7600000000000002
3,3.8200000000000003,0.0,12.637838332345957,3.0400000000000005,0.78
4,3.8100000000000005,0.0,12.307291018693343,4.159999999999999,-0.3500000000000001
5,2.71,0.0,11.395362679224531,3.06,-0.3500000000000001
6,6.05,0.0,12.775980415560827,4.159999999999999,1.8900000000000006
7,6.050000000000001,0.0,11.295220640054616,4.159999999999999,1.8900000000000001
8,7.160000000000001,0.0,14.248059586046647,4.159999999999999,3.0000000000000004
9,6.07,0.0,13.525144403177169,5.289999999999999,0.78
10,6.07,0.0,13.829154003604112,5.289999999999999,0.78
11,8.319999999999999,0.0,13.449334301358581,5.289999999999999,3.0300000000000002
12,9.45,0.0,12.428879561011101,6.42,3.0300000000000002
13,9.409999999999998,0.0,15.23809761135032,6.42,2.99
14,9.409999999999998,0.0,17.31257096791038,6.42,2.99
15,10.53,0.0,16.416385611656267,6.42,4.109999999999999
16,10.53,0.0,17.130385473061956,6.42,4.109999999999999
17,9.409999999999998,0.0,16.307615296955447,6.42,2.99
18,9.409999999999998,0.0,17.337231527610854,6.42,2.99
19,9.45,0.0,19.832941804539082,6.42,3.0300000000000002
20,9.45,0.0,16.660158302939628,6.42,3.0300000000000002
21,9.45,0.0,18.5689360427676,6.42,3.0300000000000002
22,9.45,0.0,20.63231464499514,6.42,3.0300000000000002
23,9.45,0.0,17.47141933261051,6.42,3.0300000000000002
24,9.45,0.0,16.848505848963825,6.42,3.0300000000000002
25,9.45,0.0,18.424745914099944,6.42,3.0300000000000002
26,9.45,0.0,18.270917898034114,6.42,3.0300000000000002
27,9.45,0.0,17.902442560418198,6.42,3.0300000000000002
28,9.45,0.0,19.890682728336667,6.42,3.0300000000000002
29,9.45,0.0,18.592090221881648,6.42,3.0300000000000002
30,9.45,0.0,21.055269484907157,6.42,3.0300000000000002
31,9.45,0.0,19.86054790705279,6.42,3.0300000000000002
32,9.45,0.0,23.775890648331433,6.42,3.0300000000000002
33,10.57,0.0,25.09493539051649,6.42,4.1499999999999995
34,10.57,0.0,20.801165583024392,6.42,4.1499999999999995
35,10.57,0.0,17.187091292890663,6.42,4.1499999999999995
36,10.57,0.0,23.56563351370174,6.42,4.1499999999999995
37,11.64,0.0,25.766711624721133,6.42,5.22
38,11.64,0.0,25.157003416265916,6.42,5.22
39,11.64,0.0,22.927698347787654,6.42,5.22
40,11.64,0.0,26.21982185353744,6.42,5.22
41,11.64,0.0,25.657433421515783,6.42,5.22
42,11.64,0.0,23.823146087285043,6.42,5.22
43,11.64,0.0,28.037433632817667,6.42,5.22
44,11.64,0.0,27.506523448054224,6.42,5.22
45,11.64,0.0,23.733470853573124,6.42,5.22
46,11.64,0.0,28.474896087804332,6.42,5.22
47,11.64,0.0,26.963703729805083,6.42,5.22
48,11.64,0.0,23.55088997836873,6.42,5.22
49,11.64,0.0,30.379190054206298,6.42,5.22
50,11.64,0.0,26.845936152536417,6.42,5.22
51,11.64,0.0,25.11825531541632,6.42,5.22
52,11.64,0.0,25.202162513387588,6.42,5.22
53,11.64,0.0,22.997478916846028,6.42,5.22
54,11.64,0.0,23.64443456884638,6.42,5.22
55,11.64,0.0,26.37157879273422,6.42,5.22
56,11.64,0.0,27.770097022427173,6.42,5.22
57,11.64,0.0,27.097728160676084,6.42,5.22
58,11.64,0.0,24.845422447649362,6.42,5.22
59,11.64,0.0,26.334241190871424,6.42,5.22
60,11.64,0.0,23.250679297279056,6.42,5.22
61,11.64,0.0,27.58735373895116,6.42,5.22
62,11.64,0.0,28.286242002628896,6.42,5.22
63,11.64,0.0,26.780264300099823,6.42,5.22
64,11.64,0.0,25.209406673693245,6.42,5.22
65,11.64,0.0,24.947459870884245,6.42,5.22
66,11.64,0.0,30.840656115504828,6.42,5.22
67,11.64,0.0,34.38597612502237,6.42,5.22
68,11.64,0.0,25.124708771940888,6.42,5.22
69,11.64,0.0,33.966830938066636,6.42,5.22
70,11.64,0.0,29.346491616528972,6.42,5.22
71,11.64,0.0,28.065171544845626,6.42,5.22
72,11.64,0.0,30.57703662542948,6.42,5.22
73,11.64,0.0,32.7383852228757,6.42,5.22
74,11.64,0.0,30.684369887297322,6.42,5.22
75,11.64,0.0,26.29248618783317,6.42,5.22
76,11.64,0.0,25.85148370419546,6.42,5.22
77,11.64,0.0,31.157664950201905,6.42,5.22
78,11.64,0.0,27.09190476701967,6.42,5.22
79,11.64,0.0,30.310346862930437,6.42,5.22
80,11.64,0.0,27.79424896084329,6.42,5.22
81,11.64,0.0,26.052563974002105,6.42,5.22
82,11.64,0.0,33.36280916554419,6.42,5.22
83,11.64,0.0,29.155802123093853,6.42,5.22
84,11.64,0.0,30.205983713444045,6.42,5.22
85,11.64,0.0,28.190626285130733,6.42,5.22
86,11.64,0.0,27.036330557699472,6.42,5.22
87,11.64,0.0,26.859740104664034,6.42,5.22
88,11.64,0.0,29.437904813495333,6.42,5.22
89,11.64,0.0,27.02429323806214,6.42,5.22
90,11.64,0.0,29.705422417379786,6.42,5.22
91,11.64,0.0,31.039177189104084,6.42,5.22
92,11.64,0.0,26.482780229896502,6.42,5.22
93,11.64,0.0,28.765450449693777,6.42,5.22
94,11.64,0.0,27.718764764650352,6.42,5.22
95,11.64,0.0,26.33973403157805,6.42,5.22
96,11.64,0.0,29.00625273694747,6.42,5.22
97,11.64,0.0,30.47598921523221,6.42,5.22
98,11.64,0.0,29.980563947392675,6.42,5.22
99,11.64,0.0,32.838765185414914,6.42,5.22
100,11.64,0.0,28.97439972444684,6.42,5.22
101,11.64,0.0,28.64984755588456,6.42,5.22
102,11.64,0.0,30.511990195218914,6.42,5.22
103,11.64,0.0,29.6084639502245,6.42,5.22
104,11.64,0.0,33.34621249440818,6.42,5.22
105,11.64,0.0,26.527938683100814,6.42,5.22
106,11.64,0.0,27.340069565016428,6.42,5.22
107,11.64,0.0,34.53514576857988,6.42,5.22
108,11.64,0.0,30.227789348150004,6.42,5.22
109,11.64,0.0,30.48262823052807,6.42,5.22
110,11.64,0.0,29.990063742658396,6.42,5.22
111,11.64,0.0,30.219141547618094,6.42,5.22
112,11.64,0.0,25.621790410325463,6.42,5.22
113,11.64,0.0,25.73912458751498,6.42,5.22
114,11.64,0.0,32.29329434578139,6.42,5.22
115,11.64,0.0,39.52222222245387,6.42,5.22
116,11.64,0.0,24.74383375402081,6.42,5.22
117,11.64,0.0,26.643494134828035,6.42,5.22
118,11.64,0.0,26.51881298687414,6.42,5.22
119,11.64,0.0,29.53745222535149,6.42,5.22
120,11.64,0.0,29.323849744931415,6.42,5.22
121,11.64,0.0,29.673398395777923,6.42,5.22
122,11.64,0.0,28.11286552805147,6.42,5.22
123,11.64,0.0,26.419602558597944,6.42,5.22
124,11.64,0.0,27.514243249910262,6.42,5.22
125,11.64,0.0,29.57498432739074,6.42,5.22
126,11.64,0.0,29.98476064585654,6.42,5.22
127,11.64,0.0,26.004107294038405,6.42,5.22
128,11.64,0.0,33.68951166155132,6.42,5.22
129,11.64,0.0,24.85475245769952,6.42,5.22
130,11.64,0.0,33.602568108050534,6.42,5.22
131,11.64,0.0,30.9972077304081,6.42,5.22
132,11.64,0.0,25.908624110272132,6.42,5.22
133,11.64,0.0,27.22777449947011,6.42,5.22
134,11.64,0.0,26.135840836963634,6.42,5.22
135,11.64,0.0,26.84709620986422,6.42,5.22
136,11.64,0.0,27.47287438407146,6.42,5.22
137,11.64,0.0,29.525159562741756,6.42,5.22
138,11.64,0.0,27.096725565953818,6.42,5.22
139,11.64,0.0,29.856059180311732,6.42,5.22
140,11.64,0.0,30.022086765839084,6.42,5.22
141,11.64,0.0,26.357524157065978,6.42,5.22
142,11.64,0.0,32.42237492435479,6.42,5.22
143,11.64,0.0,25.681747662085243,6.42,5.22
144,11.64,0.0,26.573019254317053,6.42,5.22
145,11.64,0.0,27.010258694852492,6.42,5.22
146,11.64,0.0,26.49202826451074,6.42,5.22
147,11.64,0.0,30.23768221228709,6.42,5.22
148,11.64,0.0,28.319256127009297,6.42,5.22
149,11.64,0.0,26.43366735667296,6.42,5.22
